City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,stanley,54.868,-1.6985,9.01,93,20,2.57,GB,1730243127
83,prince rupert,54.3161,-130.3201,8.83,71,100,18.01,CA,1730242902
84,hawaiian paradise park,19.5933,-154.9731,27.73,75,0,4.63,US,1730243132
85,kismayo,-0.3582,42.5454,24.19,88,24,3.07,SO,1730243133
86,touros,-5.1989,-35.4608,25.23,70,84,6.55,BR,1730243134
87,longyearbyen,78.2186,15.6401,-3.09,93,40,1.03,SJ,1730243126
88,madalena,41.2162,-8.3345,20.32,68,99,5.61,PT,1730243136
89,machico,32.7,-16.7667,20.0,77,75,3.09,PT,1730242981
90,bethel,41.3712,-73.414,14.56,78,100,3.09,US,1730243139
91,albany,42.6001,-73.9662,12.02,70,100,1.79,US,1730243140
92,arno,60.1167,18.6333,9.89,83,100,7.12,SE,1730243141
93,happy valley-goose bay,53.3168,-60.3315,-1.83,74,40,2.57,CA,1730243143
94,walvis bay,-22.9575,14.5053,12.53,94,1,1.54,NA,1730243144
95,mokrin,45.9358,20.4072,12.93,69,0,1.33,RS,1730243145
96,crane,31.3974,-102.3501,27.92,36,0,11.53,US,1730243146
97,whitehorse,60.7161,-135.0538,1.43,80,100,8.23,CA,1730243148
98,cockburn town,21.4612,-71.1419,28.09,76,99,10.4,TC,1730242942
99,pauini,-7.7136,-66.9764,29.27,53,40,1.51,BR,1730243062
100,ilulissat,69.2167,-51.1,-9.99,67,100,4.12,GL,1730243151
101,lebu,-37.6167,-73.65,13.16,83,74,1.49,CL,1730243152
102,invercargill,-46.4,168.35,11.68,89,100,6.26,NZ,1730243154
103,hengchun,22.0042,120.7439,25.16,79,100,2.4,TW,1730243155
104,whitby,54.4877,-0.615,11.88,86,61,1.34,GB,1730243156
105,norilsk,69.3535,88.2027,-16.36,94,67,3.79,RU,1730243157
106,dunedin,-45.8742,170.5036,14.89,68,85,2.68,NZ,1730243158
107,constantia,44.1833,28.65,8.38,65,0,4.08,RO,1730242926
108,alice springs,-23.7,133.8833,25.75,17,99,3.6,AU,1730242953
109,ar ruways,24.1103,52.7306,26.64,56,1,5.19,AE,1730243055
110,san antonio de pale,-1.4014,5.6325,25.49,84,99,3.91,GQ,1730243163
111,gilgit,35.9221,74.3087,10.94,62,26,0.38,PK,1730243165
112,mount isa,-20.7333,139.5,30.87,30,20,5.66,AU,1730243016
113,bubaque,11.2833,-15.8333,27.5,76,74,2.78,GW,1730243167
114,kegeyli shahar,42.7767,59.6078,9.47,64,95,3.58,UZ,1730243168
115,nova sintra,14.8667,-24.7167,25.63,72,100,5.34,CV,1730243169
116,hermanus,-34.4187,19.2345,13.78,93,0,2.75,ZA,1730243171
117,fredericksburg,38.3032,-77.4605,16.97,78,0,0.0,US,1730243159
118,nova vicosa,-17.8919,-39.3719,25.2,80,100,2.65,BR,1730243173
119,puerto quijarro,-17.7833,-57.7667,26.59,77,71,0.21,BO,1730243174
120,cooma,-36.2333,149.1333,19.36,37,19,1.33,AU,1730243175
121,yuzhno-kurilsk,44.0306,145.8556,9.95,68,98,0.94,RU,1730243177
122,zakynthos,37.7914,20.8953,20.45,69,29,1.8,GR,1730243178
123,peterhead,57.5058,-1.7981,11.01,87,100,3.74,GB,1730243179
124,hadibu,12.65,54.0333,26.31,61,0,3.0,YE,1730243180
125,gaspe,48.8334,-64.4819,-1.88,64,20,0.0,CA,1730243182
126,westport,41.1415,-73.3579,15.87,80,100,5.66,US,1730243032
127,vadso,70.0744,29.7487,0.09,74,0,8.75,NO,1730243184
128,severnoye,56.3491,78.3619,-0.38,91,100,4.05,RU,1730243185
129,acajutla,13.5928,-89.8275,28.58,71,63,1.45,SV,1730243187
130,puerto baquerizo moreno,-0.9,-89.6,20.55,94,100,5.14,EC,1730243189
131,bardai,11.65,7.2333,23.3,29,100,3.22,NG,1730243190
132,smithers,54.7804,-127.1743,3.18,75,75,2.57,CA,1730243134
133,olonkinbyen,70.9221,-8.7187,-4.57,54,96,5.55,SJ,1730243192
134,magadi,12.9667,77.2333,19.3,91,67,0.91,IN,1730243173
135,qaqortoq,60.7167,-46.0333,-5.67,75,49,2.12,GL,1730243195
136,cabo san lucas,22.8909,-109.9124,33.17,45,20,2.57,MX,1730242997
137,mount gambier,-37.8333,140.7667,15.54,62,29,2.02,AU,1730243197
138,shagonar,51.5333,92.8,1.06,55,98,1.01,RU,1730243198
139,chernomorskoye,45.5039,32.6997,14.06,73,100,5.89,UA,1730243200
140,portland,45.5234,-122.6762,13.78,72,100,1.54,US,1730243178
141,papao,-17.75,-149.55,28.82,67,3,7.44,PF,1730243202
142,pacific grove,36.6177,-121.9166,16.47,81,0,4.12,US,1730242984
143,floro,61.5996,5.0328,8.98,76,40,7.72,NO,1730243205
144,benguela,-12.5763,13.4055,23.53,79,14,2.69,AO,1730243206
145,hasaki,35.7333,140.8333,17.51,91,100,9.37,JP,1730243007
146,igarka,67.4667,86.5833,-17.86,99,48,1.8,RU,1730243208
147,murun-kuren,49.6342,100.1625,-1.49,57,21,2.76,MN,1730243210
148,trairi,-3.2778,-39.2689,25.81,77,24,5.32,BR,1730242990
149,bredasdorp,-34.5322,20.0403,13.44,90,0,1.24,ZA,1730243212
150,hovd,48.0056,91.6419,-0.27,49,16,2.27,MN,1730243213
151,alaghsas,17.0187,8.0168,25.27,16,17,4.89,NE,1730243171
152,kerema,-7.9631,145.7785,26.17,81,99,3.21,PG,1730243216
153,qusmuryn,52.4503,64.6311,-0.53,87,58,1.55,KZ,1730243217
154,wanning,18.8003,110.3967,24.88,94,100,7.24,CN,1730243218
155,kostomuksha,64.571,30.5767,1.03,86,100,6.57,RU,1730243219
156,belmonte,-15.8631,-38.8828,23.88,85,2,3.2,BR,1730243220
157,iqaluit,63.7506,-68.5145,-6.8,85,53,5.3,CA,1730243222
158,port elizabeth,-33.918,25.5701,16.16,94,100,9.77,ZA,1730242993
159,blythe,33.6103,-114.5964,23.25,20,20,0.0,US,1730243224
160,kadugli,11.0167,29.7167,25.28,36,3,2.06,SD,1730243021
161,changji,44.0167,87.3167,4.44,93,100,3.0,CN,1730243227
162,penonome,8.5167,-80.3667,25.56,88,100,4.92,PA,1730243228
163,fort bragg,35.139,-79.006,19.39,74,100,0.0,US,1730243229
164,haiku-pauwela,20.9219,-156.3051,28.47,69,91,5.36,US,1730243230
